Genre,index genre
Simulator,5606
Sport,5606
Puzzle,5638
Strategy,5638
Simulator,5647
Sport,5647
Adventure,5651
Fighting,5651
Racing,5651
Shooter,5651
Indie,5667
Role-playing (RPG),5667
Shooter,5667
Simulator,5667
Strategy,5667
Turn-based strategy (TBS),5699
Shooter,5704
Indie,5709
Puzzle,5709
Simulator,5709
Strategy,5709
Puzzle,5717
Strategy,5717
Turn-based strategy (TBS),5717
Arcade,5744
Sport,5744
Shooter,5767
Strategy,5767
Adventure,5782
Indie,5782
Puzzle,5782
Role-playing (RPG),5782
Adventure,5825
Arcade,5825
Indie,5825
Arcade,5830
Indie,5837
Strategy,5837
Indie,5841
Role-playing (RPG),5841
Unknow,5847
Adventure,5853
Puzzle,5853
Arcade,5858
Indie,5858
Racing,5858
Simulator,5862
Strategy,5862
Arcade,5882
Simulator,5882
Unknow,5883
Adventure,5887
Indie,5887
Puzzle,5887
Role-playing (RPG),5899
Indie,5906
Role-playing (RPG),5906
Strategy,5906
Adventure,5945
Adventure,5955
Role-playing (RPG),5955
Puzzle,5957
Strategy,5962
Unknow,5972
Puzzle,5
Adventure,6
Indie,6
Strategy,6
Puzzle,14
Role-playing (RPG),17
Turn-based strategy (TBS),17
Simulator,25
Indie,28
Simulator,28
Sport,28
Adventure,41
Role-playing (RPG),41
Simulator,41
Strategy,41
Role-playing (RPG),43
Role-playing (RPG),45
Simulator,45
Adventure,47
Role-playing (RPG),47
Strategy,47
Turn-based strategy (TBS),47
Shooter,48
Arcade,51
Racing,51
Unknow,66
Indie,67
Simulator,67
Arcade,68
Puzzle,69
Arcade,70
Strategy,86
Arcade,89
Racing,91
Arcade,98
Simulator,98
Adventure,103
Role-playing (RPG),103
Adventure,110
Arcade,110
Racing,110
Shooter,110
Puzzle,114
Adventure,119
Role-playing (RPG),119
Role-playing (RPG),121
Simulator,122
Indie,131
Platform,131
Puzzle,131
Arcade,137
Adventure,142
Puzzle,142
Puzzle,144
Arcade,146
Racing,146
Role-playing (RPG),154
Strategy,154
Arcade,155
Visual Novel,171
Arcade,172
Indie,172
Arcade,188
Adventure,194
Role-playing (RPG),194
Strategy,194
Puzzle,195
Indie,202
Simulator,202
Puzzle,228
Strategy,233
Arcade,240
Real Time Strategy (RTS),240
Strategy,240
Tactical,240
Hack and slash/Beat 'em up,245
Role-playing (RPG),245
Music,248
Arcade,251
Indie,251
Puzzle,251
Strategy,251
Indie,256
Platform,256
Real Time Strategy (RTS),259
Role-playing (RPG),259
Strategy,259
Tactical,259
Quiz/Trivia,262
Adventure,263
Puzzle,263
Shooter,266
Strategy,266
Fighting,270
Arcade,273
Strategy,273
Adventure,285
Shooter,285
Indie,295
Puzzle,295
Strategy,295
Simulator,300
Puzzle,303
Adventure,307
Indie,307
Platform,307
Arcade,311
Adventure,326
Point-and-click,326
Simulator,326
Adventure,332
Puzzle,332
Arcade,335
Indie,339
Simulator,339
Indie,340
Role-playing (RPG),340
Platform,342
Adventure,349
Indie,349
Quiz/Trivia,349
Strategy,349
Real Time Strategy (RTS),351
Simulator,351
Strategy,351
Tactical,351
Arcade,353
Shooter,356
Sport,360
Indie,361
Puzzle,361
Simulator,361
Indie,365
Shooter,365
Hack and slash/Beat 'em up,366
Adventure,369
Point-and-click,369
Puzzle,369
Role-playing (RPG),369
Visual Novel,369
Sport,376
Arcade,380
Hack and slash/Beat 'em up,385
Shooter,385
Indie,404
Strategy,404
Unknow,409
Arcade,410
Platform,410
Arcade,411
Indie,411
Arcade,415
Indie,415
Arcade,429
Sport,438
Role-playing (RPG),440
Arcade,443
Fighting,443
Role-playing (RPG),445
Indie,447
Puzzle,447
Racing,448
Simulator,448
Strategy,448
Tactical,452
Adventure,455
Indie,455
Platform,455
Simulator,457
Sport,462
Adventure,466
Indie,466
Point-and-click,466
Simulator,466
Strategy,466
Strategy,470
Arcade,476
Simulator,476
Racing,478
Role-playing (RPG),485
Fighting,486
Hack and slash/Beat 'em up,486
Indie,486
Racing,486
Adventure,487
Adventure,488
Arcade,488
Indie,488
Platform,488
Puzzle,494
Indie,496
Puzzle,496
Adventure,503
Puzzle,503
Arcade,506
Indie,506
Adventure,518
Strategy,519
Adventure,526
Adventure,529
Indie,529
Role-playing (RPG),529
Puzzle,535
Arcade,536
Adventure,538
Indie,538
Arcade,543
Puzzle,543
Indie,544
Role-playing (RPG),544
Arcade,556
Indie,556
Shooter,556
Simulator,564
Racing,566
Simulator,566
Sport,566
Indie,569
Puzzle,569
Arcade,573
Simulator,575
Adventure,591
Puzzle,591
Visual Novel,591
Shooter,594
Puzzle,595
Role-playing (RPG),595
Arcade,601
Music,601
Platform,602
Sport,615
Role-playing (RPG),618
Adventure,619
Role-playing (RPG),619
Role-playing (RPG),622
Platform,638
Puzzle,640
Adventure,643
Role-playing (RPG),643
Sport,644
Simulator,646
Strategy,646
Arcade,651
Hack and slash/Beat 'em up,660
Indie,660
Indie,661
Puzzle,661
Quiz/Trivia,663
Unknow,664
Strategy,670
Role-playing (RPG),671
Racing,675
Puzzle,683
Arcade,684
Adventure,685
Indie,685
Role-playing (RPG),685
Visual Novel,685
Unknow,686
Adventure,696
Indie,696
Platform,696
Simulator,701
Strategy,701
Unknow,705
Indie,709
Shooter,709
Simulator,709
Adventure,716
Shooter,720
Puzzle,722
Role-playing (RPG),732
Indie,734
Puzzle,734
Indie,736
Puzzle,736
Indie,740
Simulator,741
Sport,741
Simulator,745
Arcade,749
Adventure,759
Indie,759
Platform,759
Arcade,764
Platform,764
Adventure,771
Unknow,787
Puzzle,790
Arcade,793
Indie,793
Music,793
Pinball,793
Platform,793
Adventure,804
Simulator,804
Role-playing (RPG),805
Strategy,805
Tactical,805
Turn-based strategy (TBS),805
Adventure,807
Arcade,807
Racing,808
Simulator,808
Indie,809
Music,809
Simulator,813
Shooter,815
Indie,817
Music,817
Platform,817
Racing,817
Fighting,829
Puzzle,830
Unknow,853
Simulator,855
Platform,856
Puzzle,856
Unknow,858
Unknow,870
Arcade,878
Fighting,878
Indie,878
Sport,878
Adventure,879
Indie,879
Point-and-click,879
Puzzle,879
Simulator,879
Indie,886
Strategy,886
Puzzle,887
Role-playing (RPG),891
Indie,895
Puzzle,895
Adventure,901
Indie,901
Role-playing (RPG),904
Turn-based strategy (TBS),904
Adventure,905
Indie,905
Role-playing (RPG),905
Strategy,905
Adventure,910
Role-playing (RPG),910
Adventure,915
Indie,915
Role-playing (RPG),915
Adventure,917
Indie,917
Role-playing (RPG),921
Platform,924
Role-playing (RPG),927
Simulator,928
Strategy,928
Arcade,930
Racing,930
Adventure,931
Indie,931
Puzzle,931
Indie,937
Simulator,937
Strategy,937
Role-playing (RPG),938
Strategy,939
Unknow,945
Arcade,958
Indie,970
Adventure,971
Role-playing (RPG),971
Simulator,971
Strategy,971
Tactical,971
Turn-based strategy (TBS),971
