Genre,index genre
Simulator,2621
Indie,2622
Role-playing (RPG),2622
Simulator,2634
Strategy,2634
Platform,2635
Arcade,2646
Platform,2646
Adventure,2651
Puzzle,2651
Adventure,2655
Arcade,2655
Indie,2655
Platform,2655
Indie,2657
Racing,2657
Arcade,2674
Adventure,2683
Role-playing (RPG),2683
Indie,2704
Racing,2704
Simulator,2704
Strategy,2704
Indie,2727
Simulator,2727
Strategy,2727
Adventure,2728
Shooter,2728
Puzzle,2738
Adventure,2749
Shooter,2750
Arcade,2754
Puzzle,2754
Adventure,2761
Arcade,2761
Indie,2761
Simulator,2761
Arcade,2762
Puzzle,2762
Arcade,2765
Indie,2765
Music,2765
Pinball,2765
Platform,2765
Adventure,2781
Indie,2781
Puzzle,2781
Adventure,2787
Puzzle,2787
Adventure,2794
Indie,2794
Puzzle,2794
Adventure,2795
Indie,2795
Point-and-click,2795
Puzzle,2795
Indie,2816
Simulator,2816
Adventure,2818
Platform,2818
Puzzle,2818
Arcade,2827
Puzzle,2827
Indie,2830
Puzzle,2830
Puzzle,2832
Shooter,2833
Racing,2853
Adventure,2863
Indie,2863
Role-playing (RPG),2863
Simulator,2863
Arcade,2873
Racing,2873
Simulator,2873
Sport,2873
Unknow,2884
Adventure,2898
Indie,2898
Platform,2898
Adventure,2904
Platform,2904
Adventure,2909
Indie,2909
Point-and-click,2909
Puzzle,2909
Role-playing (RPG),2917
Adventure,2923
Indie,2923
Puzzle,2923
Simulator,2923
Strategy,2923
Indie,2927
Platform,2927
Sport,2930
Adventure,2936
Indie,2936
Puzzle,2936
Role-playing (RPG),2936
Simulator,2936
Strategy,2936
Simulator,2940
Indie,2949
Shooter,2949
Adventure,2957
Music,2957
Indie,2969
Shooter,2969
Unknow,2970
Arcade,2972
Indie,2972
Puzzle,2972
Arcade,2975
Racing,2975
Adventure,2990
Indie,2990
Puzzle,2990
Role-playing (RPG),2990
Puzzle,3007
Adventure,3008
Role-playing (RPG),3008
Strategy,3017
Arcade,3031
Role-playing (RPG),3042
Role-playing (RPG),3070
Strategy,3070
Tactical,3070
Shooter,3077
Arcade,3078
Indie,3078
Simulator,3078
Adventure,3085
Hack and slash/Beat 'em up,3085
Puzzle,3085
Arcade,3089
Strategy,3089
Simulator,3099
Sport,3099
Strategy,3099
Indie,3103
Shooter,3103
Strategy,3108
Adventure,3109
Point-and-click,3109
Role-playing (RPG),3132
Adventure,3135
Indie,3135
Role-playing (RPG),3135
Adventure,3136
Indie,3136
Platform,3136
Indie,3147
Puzzle,3147
Simulator,3147
Adventure,3149
Indie,3149
Point-and-click,3149
Strategy,3149
Arcade,3150
Indie,3150
Indie,3163
Strategy,3163
Unknow,3164
Indie,3167
Strategy,3167
Arcade,3168
Adventure,3169
Indie,3169
Puzzle,3169
Simulator,3169
Strategy,3169
Adventure,3172
Platform,3172
Role-playing (RPG),3172
Adventure,3174
Shooter,3174
Adventure,3181
Point-and-click,3181
Puzzle,3181
Adventure,3182
Indie,3182
Puzzle,3182
Unknow,3187
Shooter,3193
Role-playing (RPG),3196
Simulator,3196
Simulator,3198
Indie,3204
Strategy,3204
Simulator,3252
Racing,3265
Adventure,3267
Arcade,3267
Simulator,3271
Visual Novel,3271
Point-and-click,3284
Shooter,3284
Adventure,3285
Puzzle,3285
Role-playing (RPG),3286
Puzzle,3292
Fighting,3300
Role-playing (RPG),3300
Turn-based strategy (TBS),3300
Simulator,3308
Strategy,3308
Tactical,3308
Turn-based strategy (TBS),3308
Platform,3317
Simulator,3341
Strategy,3341
Indie,3342
Role-playing (RPG),3342
Arcade,3343
Indie,3343
Simulator,3343
Strategy,3343
Adventure,3346
Role-playing (RPG),3346
Adventure,3351
Hack and slash/Beat 'em up,3351
Role-playing (RPG),3351
Adventure,3368
Indie,3368
Platform,3368
Puzzle,3368
Adventure,3369
Hack and slash/Beat 'em up,3369
Role-playing (RPG),3369
Simulator,3369
Strategy,3369
Adventure,3374
Arcade,3374
Indie,3374
Simulator,3374
Strategy,3374
Role-playing (RPG),3380
Shooter,3380
Tactical,3380
Puzzle,3384
Unknow,3392
Adventure,3394
Puzzle,3394
Adventure,3398
Indie,3398
Role-playing (RPG),3398
Adventure,3402
Indie,3402
Point-and-click,3402
Puzzle,3402
Role-playing (RPG),3402
Puzzle,3404
Role-playing (RPG),3421
Shooter,3421
Puzzle,3440
Shooter,3478
Indie,3485
Strategy,3485
Adventure,3502
Strategy,3502
Puzzle,3509
Role-playing (RPG),3510
Strategy,3510
Real Time Strategy (RTS),3531
Role-playing (RPG),3531
Strategy,3531
Fighting,3545
Puzzle,3545
Strategy,3545
Adventure,3547
Indie,3547
Quiz/Trivia,3547
Strategy,3547
Adventure,3550
Racing,3550
Puzzle,3553
Indie,3562
Role-playing (RPG),3562
Simulator,3562
Strategy,3562
Adventure,3568
Arcade,3568
Adventure,3571
Indie,3571
Puzzle,3571
Indie,3604
Music,3604
Adventure,3614
Indie,3614
Role-playing (RPG),3614
Role-playing (RPG),3631
Indie,3635
Sport,3635
Indie,3641
Puzzle,3641
Adventure,3645
Indie,3645
Point-and-click,3645
Adventure,3658
Strategy,3658
Turn-based strategy (TBS),3658
Adventure,3660
Indie,3660
Adventure,3661
Indie,3661
Simulator,3661
Strategy,3661
Role-playing (RPG),3664
Strategy,3664
Turn-based strategy (TBS),3664
Puzzle,3670
Real Time Strategy (RTS),3670
Strategy,3670
Tactical,3670
Adventure,3673
Indie,3673
Role-playing (RPG),3673
Strategy,3673
Adventure,3674
Racing,3674
Shooter,3674
Sport,3674
Adventure,3685
Point-and-click,3685
Puzzle,3685
Role-playing (RPG),3685
Visual Novel,3685
Indie,3693
Puzzle,3693
Adventure,3706
Indie,3706
Puzzle,3706
Indie,3714
Puzzle,3714
Indie,3745
Puzzle,3745
Real Time Strategy (RTS),3764
Simulator,3764
Strategy,3764
Tactical,3764
Adventure,3766
Role-playing (RPG),3766
Indie,3777
Puzzle,3777
Adventure,3778
Indie,3778
Point-and-click,3778
Puzzle,3778
Simulator,3785
Strategy,3785
Adventure,3791
Indie,3791
Puzzle,3791
Indie,3792
Puzzle,3792
Indie,3793
Role-playing (RPG),3793
Unknow,3813
Adventure,3817
Indie,3817
Strategy,3817
Role-playing (RPG),3821
Turn-based strategy (TBS),3821
Arcade,3875
Shooter,3875
Turn-based strategy (TBS),3875
Strategy,3880
Puzzle,3881
Adventure,3888
Real Time Strategy (RTS),3888
Role-playing (RPG),3888
Strategy,3888
Arcade,3895
Adventure,3904
Indie,3904
Role-playing (RPG),3904
Simulator,3904
Adventure,3906
Role-playing (RPG),3906
Strategy,3906
Turn-based strategy (TBS),3906
Indie,3907
Role-playing (RPG),3907
Simulator,3907
Indie,3917
Simulator,3917
Adventure,3919
Indie,3919
Puzzle,3919
Strategy,3919
Shooter,3927
Tactical,3927
Puzzle,3932
Racing,3940
Unknow,3942
Role-playing (RPG),3955
Strategy,3955
Tactical,3955
Turn-based strategy (TBS),3955
Simulator,3979
Shooter,3983
Quiz/Trivia,3989
Strategy,3989
Unknow,3999
Strategy,4014
Arcade,4015
Sport,4015
Adventure,4021
Puzzle,4021
Adventure,4030
Indie,4030
Role-playing (RPG),4030
Indie,4032
Puzzle,4032
Adventure,4037
Point-and-click,4037
Arcade,4038
Indie,4038
Indie,4073
Role-playing (RPG),4073
Indie,4075
Platform,4075
Adventure,4076
Indie,4076
Role-playing (RPG),4076
Simulator,4076
Strategy,4076
Racing,4083
Music,4087
Adventure,4088
Role-playing (RPG),4088
Role-playing (RPG),4095
Strategy,4095
Puzzle,4098
Shooter,4098
Role-playing (RPG),4100
Unknow,4112
Music,4114
Adventure,4125
Point-and-click,4125
Fighting,4147
Simulator,4147
Sport,4147
Strategy,4151
Racing,4160
Sport,4160
Adventure,4167
Indie,4167
Role-playing (RPG),4167
Indie,4179
Hack and slash/Beat 'em up,4182
Role-playing (RPG),4182
Strategy,4182
Role-playing (RPG),4184
Strategy,4184
Turn-based strategy (TBS),4184
Arcade,4185
Role-playing (RPG),4190
Role-playing (RPG),4192
Fighting,4197
Role-playing (RPG),4201
Shooter,4201
Simulator,4201
Strategy,4201
Tactical,4201
Unknow,4212
Adventure,4225
Arcade,4225
Indie,4225
Platform,4225
Puzzle,4225
Adventure,4245
Hack and slash/Beat 'em up,4245
Indie,4245
Platform,4245
Role-playing (RPG),4245
Adventure,4296
Puzzle,4296
Strategy,4297
Turn-based strategy (TBS),4297
